#####################################################################################################
# _diffrn_sofware                                   Foxtrot 3.3.0 (2015-12-10 13:42:25)
# Sub_Ave_RNaseE_Sample_0036_1252-Ave_RNaseE_Buffer_0035_744
# sub-data
# B                                                 LIST
#####################################################################################################
q(A-1)              I(q)Sub_1253_Ave_RNaseE_Sample_0036_1252          Sig(q)Sub_1253_Ave_RNaseE_Sample_0036_1252        
0.0638232761279     0.0083335878792                                   1.63152287766e-05                                 
0.0643930791028     0.00820501441728                                  1.62085849608e-05                                 
0.0649628808056     0.00807350878791                                  1.61202599036e-05                                 
0.0655326812252     0.00796331787534                                  1.6011131217e-05                                  
0.0661024803503     0.00778766467729                                  1.59248667186e-05                                 
0.0666722781696     0.00766955257163                                  1.5821360619e-05                                  
0.0672420746719     0.00759021064409                                  1.57651603287e-05                                 
0.067811869846      0.00748082447922                                  1.56709942905e-05                                 
0.0683816636806     0.00733425547279                                  1.55586287985e-05                                 
0.0689514561643     0.00721948287031                                  1.54998851999e-05                                 
0.0695212472861     0.00710495417016                                  1.53814521994e-05                                 
0.0700910370346     0.00698915448649                                  1.53070759075e-05                                 
0.0706608253987     0.00688992224625                                  1.52472894042e-05                                 
0.0712306123669     0.00680392527322                                  1.54071344659e-05                                 
0.0718003979282     0.00671115202312                                  1.5488989854e-05                                  
0.0723701820711     0.0065791387731                                   1.54861691581e-05                                 
0.0729399647846     0.00648679121554                                  1.55322407678e-05                                 
0.0735097460573     0.00640093692661                                  1.55045934549e-05                                 
0.074079525878      0.00630364809095                                  1.54876078319e-05                                 
0.0746493042355     0.00621170919482                                  1.54815173192e-05                                 
0.0752190811185     0.00610195461976                                  1.54361531681e-05                                 
0.0757888565157     0.00602714863245                                  1.55151501932e-05                                 
0.0763586304159     0.00595812212444                                  1.57493559224e-05                                 
0.0769284028078     0.00588259597049                                  1.59323811729e-05                                 
0.0774981736803     0.0057734921042                                   1.60271911778e-05                                 
0.078067943022      0.0056723478331                                   1.60789327674e-05                                 
0.0786377108217     0.00558292502969                                  1.61674329588e-05                                 
0.0792074770682     0.00552059064512                                  1.62014819452e-05                                 
