 27-May-2011       (david_102.dat - 1.0*Aver(david_101.dat,david_103.dat) /  5
david_102.da  Conc = .56E+01  N1 =    1  N2 = 2178
david_101.da  Conc = 0.0d+0   N1 =    1  N2 = 2178
david_103.da  Conc = 0.0d+0   N1 =    1  N2 = 2178
  9.313880E-02  0.538082E+01  0.104059E+00
  9.341230E-02  0.554593E+01  0.107337E+00
  9.368580E-02  0.546251E+01  0.106972E+00
  9.395930E-02  0.560656E+01  0.108145E+00
  9.423290E-02  0.517862E+01  0.104301E+00
  9.450640E-02  0.524194E+01  0.105942E+00
  9.477990E-02  0.531832E+01  0.107996E+00
  9.505340E-02  0.502503E+01  0.104225E+00
  9.532690E-02  0.502674E+01  0.104427E+00
  9.560040E-02  0.506329E+01  0.104818E+00
  9.587390E-02  0.499557E+01  0.107223E+00
  9.614740E-02  0.508326E+01  0.107465E+00
  9.642090E-02  0.492481E+01  0.102914E+00
  9.669440E-02  0.484103E+01  0.104335E+00
  9.696790E-02  0.513088E+01  0.107615E+00
  9.724140E-02  0.492349E+01  0.106759E+00
  9.751500E-02  0.492337E+01  0.107145E+00
  9.778850E-02  0.475949E+01  0.102255E+00
  9.806200E-02  0.471877E+01  0.104783E+00
  9.833550E-02  0.441086E+01  0.101263E+00
  9.860900E-02  0.464494E+01  0.103892E+00
  9.888250E-02  0.448772E+01  0.101699E+00
  9.915600E-02  0.463519E+01  0.103858E+00
  9.942950E-02  0.439056E+01  0.103845E+00
  9.970300E-02  0.452298E+01  0.103194E+00
  9.997650E-02  0.429808E+01  0.999493E-01
  1.002500E-01  0.440111E+01  0.102813E+00
  1.005240E-01  0.432692E+01  0.103415E+00
  1.007970E-01  0.443496E+01  0.103421E+00
  1.010710E-01  0.413260E+01  0.100848E+00
  1.013440E-01  0.417451E+01  0.100805E+00
  1.016180E-01  0.423344E+01  0.102285E+00
  1.018910E-01  0.402045E+01  0.101055E+00
  1.021650E-01  0.433237E+01  0.104121E+00
  1.024380E-01  0.408696E+01  0.989233E-01
  1.027120E-01  0.397276E+01  0.101195E+00
  1.029850E-01  0.415467E+01  0.103107E+00
  1.032590E-01  0.389155E+01  0.987380E-01
  1.035320E-01  0.403683E+01  0.102775E+00
  1.038060E-01  0.409229E+01  0.102922E+00
  1.040790E-01  0.371649E+01  0.101585E+00
  1.043530E-01  0.371448E+01  0.983578E-01
  1.046260E-01  0.364187E+01  0.999809E-01
  1.049000E-01  0.371590E+01  0.995994E-01
  1.051730E-01  0.374108E+01  0.100174E+00
  1.054470E-01  0.370975E+01  0.100092E+00
  1.057200E-01  0.366780E+01  0.988033E-01
  1.059940E-01  0.367252E+01  0.990439E-01
  1.062670E-01  0.349072E+01  0.100242E+00
  1.065410E-01  0.367266E+01  0.100544E+00
  1.068140E-01  0.360044E+01  0.985779E-01
  1.070880E-01  0.354272E+01  0.996071E-01
  1.073610E-01  0.350896E+01  0.100531E+00
  1.076350E-01  0.344621E+01  0.982303E-01
  1.079080E-01  0.346682E+01  0.102782E+00
  1.081820E-01  0.342929E+01  0.976737E-01
  1.084550E-01  0.350735E+01  0.100167E+00
  1.087290E-01  0.338584E+01  0.976518E-01
  1.090020E-01  0.334349E+01  0.977974E-01
  1.092760E-01  0.327207E+01  0.981292E-01
  1.095490E-01  0.338260E+01  0.100460E+00
  1.098230E-01  0.322008E+01  0.978010E-01
  1.100960E-01  0.314942E+01  0.969048E-01
  1.103700E-01  0.315022E+01  0.951825E-01
  1.106430E-01  0.300555E+01  0.967352E-01
  1.109170E-01  0.312635E+01  0.982194E-01
  1.111900E-01  0.303988E+01  0.960837E-01
  1.114640E-01  0.304300E+01  0.978476E-01
  1.117370E-01  0.314664E+01  0.984148E-01
  1.120110E-01  0.319536E+01  0.988530E-01
  1.122840E-01  0.286024E+01  0.943726E-01
  1.125580E-01  0.300330E+01  0.969743E-01
  1.128310E-01  0.299629E+01  0.979745E-01
  1.131050E-01  0.275768E+01  0.965056E-01
  1.133780E-01  0.296560E+01  0.977887E-01
  1.136520E-01  0.294272E+01  0.952040E-01
  1.139250E-01  0.282260E+01  0.963328E-01
  1.141990E-01  0.286001E+01  0.937799E-01
  1.144720E-01  0.287580E+01  0.968441E-01
  1.147460E-01  0.279043E+01  0.966742E-01
  1.150200E-01  0.261996E+01  0.939393E-01
  1.152930E-01  0.266871E+01  0.935824E-01
  1.155670E-01  0.275119E+01  0.975423E-01
  1.158400E-01  0.267816E+01  0.957242E-01
  1.161140E-01  0.265764E+01  0.977676E-01
  1.163870E-01  0.270343E+01  0.958157E-01
  1.166610E-01  0.259127E+01  0.945962E-01
  1.169340E-01  0.266366E+01  0.969370E-01
  1.172080E-01  0.257385E+01  0.941058E-01
  1.174810E-01  0.239846E+01  0.948249E-01
  1.177550E-01  0.261151E+01  0.948892E-01
  1.180280E-01  0.246989E+01  0.936276E-01
  1.183020E-01  0.260181E+01  0.971700E-01
  1.185750E-01  0.253092E+01  0.945008E-01
  1.188490E-01  0.261244E+01  0.956155E-01
  1.191220E-01  0.249446E+01  0.963349E-01
  1.193960E-01  0.240693E+01  0.940565E-01
  1.196690E-01  0.246522E+01  0.943768E-01
  1.199430E-01  0.228404E+01  0.922624E-01
  1.202160E-01  0.245460E+01  0.956035E-01
  1.204900E-01  0.232552E+01  0.942959E-01
  1.207630E-01  0.223798E+01  0.949408E-01
  1.210370E-01  0.234235E+01  0.940972E-01
  1.213100E-01  0.222028E+01  0.939307E-01
  1.215840E-01  0.229241E+01  0.960354E-01
  1.221310E-01  0.217024E+01  0.938398E-01
  1.224040E-01  0.222426E+01  0.945833E-01
  1.226780E-01  0.227150E+01  0.966576E-01
  1.229510E-01  0.217357E+01  0.929801E-01
  1.232250E-01  0.220406E+01  0.993910E-01
  1.234980E-01  0.199991E+01  0.101741E+00
  1.237720E-01  0.217682E+01  0.105485E+00
  1.240450E-01  0.217732E+01  0.104660E+00
  1.243190E-01  0.206972E+01  0.106935E+00
  1.245920E-01  0.205455E+01  0.110995E+00
  1.248660E-01  0.204541E+01  0.109576E+00
  1.251390E-01  0.204117E+01  0.112840E+00
  1.254130E-01  0.191935E+01  0.114314E+00
  1.256860E-01  0.208850E+01  0.112075E+00
  1.259600E-01  0.186946E+01  0.112838E+00
  1.262330E-01  0.199331E+01  0.118452E+00
  1.265070E-01  0.202209E+01  0.109974E+00
  1.267800E-01  0.185510E+01  0.107844E+00
  1.270540E-01  0.200582E+01  0.100998E+00
  1.273270E-01  0.186043E+01  0.101529E+00
  1.276010E-01  0.192375E+01  0.989851E-01
