Sample description: b1c
Sample: b1c  c= 1.0000 mg/ml  Code: b1c
Parent(s): b1c_avg481-496.dat b1c_avg400-430.dat
  8.864720e-02   3.933749e+01   3.015306e-01
  8.895190e-02   3.858385e+01   2.967044e-01
  8.925650e-02   3.823554e+01   2.939864e-01
  8.956110e-02   3.844944e+01   2.914251e-01
  8.986580e-02   3.818968e+01   2.869613e-01
  9.017040e-02   3.790639e+01   2.896902e-01
  9.047500e-02   3.777566e+01   2.824837e-01
  9.077970e-02   3.743898e+01   2.847242e-01
  9.108430e-02   3.629126e+01   2.832894e-01
  9.138890e-02   3.670724e+01   2.806260e-01
  9.169350e-02   3.585680e+01   2.822146e-01
  9.199820e-02   3.596007e+01   2.775872e-01
  9.230280e-02   3.615642e+01   2.813213e-01
  9.260740e-02   3.542968e+01   2.780430e-01
  9.291210e-02   3.488904e+01   2.766225e-01
  9.321670e-02   3.483139e+01   2.770301e-01
  9.352130e-02   3.478107e+01   2.747538e-01
  9.382590e-02   3.447117e+01   2.762575e-01
  9.413060e-02   3.410311e+01   2.748359e-01
  9.443520e-02   3.358943e+01   2.751122e-01
  9.473980e-02   3.382137e+01   2.718285e-01
  9.504450e-02   3.337708e+01   2.733822e-01
  9.534910e-02   3.288323e+01   2.727741e-01
  9.565370e-02   3.235094e+01   2.701326e-01
  9.595840e-02   3.241593e+01   2.698563e-01
  9.626300e-02   3.217288e+01   2.697634e-01
  9.656760e-02   3.183966e+01   2.712306e-01
  9.687220e-02   3.158120e+01   2.701726e-01
  9.717690e-02   3.111286e+01   2.661669e-01
  9.748150e-02   3.107821e+01   2.680652e-01
  9.778610e-02   3.073372e+01   2.659647e-01
  9.809080e-02   3.020132e+01   2.668957e-01
  9.839540e-02   3.027306e+01   2.667020e-01
  9.870000e-02   2.974828e+01   2.638626e-01
  9.900470e-02   2.944488e+01   2.658268e-01
  9.930930e-02   2.915056e+01   2.631881e-01
  9.961390e-02   2.919407e+01   2.642245e-01
  9.991850e-02   2.914252e+01   2.623933e-01
  1.002230e-01   2.866946e+01   2.622140e-01
