Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 1.5 mg/ml  Code: tmp
Parent(s): /var/folders/my/9kqlz5zx61sd5jfjbtjhx37r0000gn/T/qt_temp.j38453 /var/folders/my/9kqlz5zx61sd5jfjbtjhx37r0000gn/T/qt_temp.K38453
  1.265060e-01   3.322500e+00   6.856674e-02
  1.269980e-01   3.112400e+00   6.741022e-02
  1.274900e-01   3.326000e+00   6.826144e-02
  1.279820e-01   3.285000e+00   6.849155e-02
  1.284740e-01   3.414300e+00   6.845455e-02
  1.289670e-01   3.178200e+00   6.790080e-02
  1.294590e-01   3.142500e+00   6.817541e-02
  1.299510e-01   3.281400e+00   6.853084e-02
  1.304430e-01   3.172700e+00   6.685570e-02
  1.309350e-01   3.066300e+00   6.731178e-02
  1.314270e-01   2.982100e+00   6.800331e-02
  1.319190e-01   3.168000e+00   6.721810e-02
  1.324110e-01   3.193200e+00   6.786298e-02
  1.329030e-01   3.032300e+00   6.737946e-02
  1.333950e-01   3.015900e+00   6.681318e-02
  1.338870e-01   3.072400e+00   6.655967e-02
  1.343790e-01   3.068800e+00   6.849555e-02
  1.348710e-01   3.081800e+00   6.984873e-02
  1.353630e-01   3.077600e+00   6.864309e-02
  1.358550e-01   3.122900e+00   7.029511e-02
  1.363470e-01   3.031000e+00   6.955992e-02
  1.368390e-01   2.860200e+00   7.023016e-02
  1.373320e-01   3.039100e+00   7.089369e-02
  1.378240e-01   2.969900e+00   7.008120e-02
  1.383160e-01   3.122900e+00   7.133828e-02
  1.388080e-01   3.040000e+00   7.091982e-02
  1.393000e-01   2.878300e+00   7.175730e-02
  1.397920e-01   2.878900e+00   7.121178e-02
  1.402840e-01   2.900600e+00   7.159527e-02
  1.407760e-01   2.954800e+00   7.319496e-02
  1.412680e-01   2.914600e+00   7.199370e-02
  1.417600e-01   2.843900e+00   7.226552e-02
  1.422520e-01   2.719200e+00   7.202054e-02
  1.427440e-01   2.997400e+00   7.147919e-02
  1.432360e-01   2.874700e+00   7.223807e-02
  1.437280e-01   2.802200e+00   6.860370e-02
  1.442200e-01   2.889300e+00   7.040971e-02
  1.447120e-01   2.698800e+00   6.908363e-02
  1.452040e-01   2.935500e+00   6.909143e-02
  1.456960e-01   2.957100e+00   6.818337e-02
  1.461880e-01   2.752100e+00   6.770549e-02
  1.466800e-01   2.759900e+00   6.840096e-02
  1.471720e-01   2.703600e+00   6.752784e-02
  1.476640e-01   2.635700e+00   6.640126e-02
  1.481560e-01   2.821400e+00   6.641747e-02
  1.486480e-01   2.762800e+00   6.574478e-02
  1.491400e-01   2.835300e+00   6.732347e-02
  1.496320e-01   2.815000e+00   6.641633e-02
  1.501240e-01   2.760200e+00   6.568830e-02
  1.506160e-01   2.718400e+00   6.691217e-02
  1.511080e-01   2.745700e+00   6.617048e-02
  1.516000e-01   2.632600e+00   6.669534e-02
  1.520920e-01   2.743200e+00   6.522081e-02
  1.525840e-01   2.632900e+00   6.601540e-02
  1.530760e-01   2.606400e+00   6.531611e-02
  1.535680e-01   2.691800e+00   6.591856e-02
  1.540600e-01   2.784600e+00   6.603314e-02
  1.545520e-01   2.682500e+00   6.509856e-02
  1.550440e-01   2.682100e+00   6.726633e-02
  1.555360e-01   2.607700e+00   6.807891e-02
  1.560270e-01   2.813100e+00   6.792255e-02
  1.565190e-01   2.578400e+00   6.780136e-02
  1.570110e-01   2.649600e+00   6.852600e-02
  1.575030e-01   2.697900e+00   6.839352e-02
  1.579950e-01   2.727000e+00   6.784021e-02
  1.584870e-01   2.690100e+00   6.781246e-02
