Sample description: HtrASnrefolded
Sample: HtrASnrefolded  c= 1.16 mg/ml  Code: 
  7.375780e-01   7.509689e-04   4.938275e-05
  7.403270e-01   7.070468e-04   4.914663e-05
  7.430770e-01   7.571264e-04   4.911460e-05
  7.458270e-01   7.482785e-04   4.946234e-05
  7.485770e-01   7.130920e-04   4.885749e-05
  7.513260e-01   6.651839e-04   4.857861e-05
  7.540760e-01   6.581505e-04   4.854423e-05
  7.568260e-01   6.396216e-04   4.830217e-05
  7.595760e-01   5.791280e-04   4.764796e-05
  7.623250e-01   6.570545e-04   4.819298e-05
  7.650750e-01   6.454968e-04   4.804558e-05
  7.678250e-01   5.522182e-04   4.751414e-05
  7.705750e-01   6.184454e-04   4.795788e-05
  7.733240e-01   6.075337e-04   4.748080e-05
  7.760740e-01   5.770913e-04   4.728360e-05
  7.788240e-01   5.548645e-04   4.707752e-05
  7.815740e-01   5.127330e-04   4.679101e-05
  7.843240e-01   5.605028e-04   4.716235e-05
  7.870730e-01   4.570978e-04   4.639360e-05
  7.898230e-01   5.301364e-04   4.676585e-05
  7.925730e-01   5.443811e-04   4.688754e-05
  7.953230e-01   5.590771e-04   4.677640e-05
  7.980720e-01   5.117549e-04   4.656191e-05
  8.008220e-01   4.631974e-04   4.586058e-05
  8.035720e-01   5.185253e-04   4.663148e-05
  8.063220e-01   4.862482e-04   4.616775e-05
  8.090710e-01   5.399475e-04   4.627993e-05
  8.118210e-01   5.115044e-04   4.618004e-05
  8.145710e-01   4.408527e-04   4.581260e-05
  8.173210e-01   5.018269e-04   4.622841e-05
  8.200700e-01   4.787671e-04   4.566106e-05
  8.228200e-01   4.971950e-04   4.604088e-05
  8.255700e-01   4.729587e-04   4.545510e-05
  8.283200e-01   4.548912e-04   4.573713e-05
  8.310690e-01   4.242017e-04   4.552004e-05
  8.338190e-01   4.270895e-04   4.555579e-05
  8.365690e-01   4.771657e-04   4.569766e-05
  8.393190e-01   4.284585e-04   4.500416e-05
  8.420690e-01   4.202873e-04   4.509337e-05
  8.448180e-01   3.864359e-04   4.502235e-05
  8.475680e-01   4.407586e-04   4.511121e-05
  8.503180e-01   4.053579e-04   4.539382e-05
  8.530680e-01   4.347191e-04   4.509094e-05
  8.558170e-01   4.410827e-04   4.504603e-05
  8.585670e-01   4.314744e-04   4.486290e-05
  8.613170e-01   4.225347e-04   4.471276e-05
  8.640670e-01   4.175854e-04   4.496329e-05
  8.668160e-01   4.190519e-04   4.460192e-05
  8.695660e-01   4.532162e-04   4.502988e-05
  8.723160e-01   4.167457e-04   4.470824e-05
  8.750660e-01   4.031162e-04   4.488355e-05
  8.778150e-01   4.105055e-04   4.490201e-05
  8.805650e-01   4.809181e-04   4.480168e-05
  8.833150e-01   4.052333e-04   4.455902e-05
  8.860650e-01   3.800212e-04   4.422703e-05
  8.888140e-01   4.046610e-04   4.455327e-05
  8.915640e-01   4.219771e-04   4.441798e-05
  8.943140e-01   4.170097e-04   4.428832e-05
  8.970640e-01   4.104885e-04   4.438469e-05
  8.998140e-01   4.390824e-04   4.444389e-05
  9.025630e-01   4.048059e-04   4.430683e-05
  9.053130e-01   4.694364e-04   4.464490e-05
  9.080630e-01   3.955342e-04   4.399423e-05
  9.108130e-01   3.773182e-04   4.425206e-05
  9.135620e-01   4.087398e-04   4.400280e-05
  9.163120e-01   4.186360e-04   4.395793e-05
  9.190620e-01   4.116558e-04   4.417380e-05
  9.218120e-01   3.551344e-04   4.372737e-05
  9.245610e-01   4.198430e-04   4.405746e-05
  9.273110e-01   4.174823e-04   4.371238e-05
  9.300610e-01   4.142919e-04   4.391478e-05
  9.328110e-01   4.173225e-04   4.374904e-05
  9.355600e-01   3.668282e-04   4.363816e-05
  9.383100e-01   3.869526e-04   4.410835e-05
  9.410600e-01   3.850146e-04   4.437407e-05
  9.438100e-01   4.129138e-04   4.451152e-05
  9.465590e-01   3.720754e-04   4.439077e-05
  9.493090e-01   3.791757e-04   4.454396e-05
  9.520590e-01   3.971447e-04   4.447631e-05
  9.548090e-01   4.312942e-04   4.458853e-05
  9.575580e-01   4.244115e-04   4.455509e-05
  9.603080e-01   3.974088e-04   4.421603e-05
  9.630580e-01   3.979436e-04   4.457227e-05
  9.658080e-01   3.846225e-04   4.436702e-05
  9.685580e-01   3.648290e-04   4.389430e-05
  9.713070e-01   3.496128e-04   4.362701e-05
  9.740570e-01   4.251867e-04   4.367647e-05
  9.768070e-01   3.985942e-04   4.396611e-05
  9.795570e-01   3.859632e-04   4.336535e-05
  9.823060e-01   3.397620e-04   4.349521e-05
  9.850560e-01   4.004698e-04   4.353725e-05
  9.878060e-01   4.011295e-04   4.347619e-05
  9.905560e-01   3.560547e-04   4.350797e-05
  9.933050e-01   3.886731e-04   4.352037e-05
  9.960550e-01   3.807295e-04   4.354546e-05
  9.988050e-01   3.679105e-04   4.296412e-05
  1.001550e+00   4.166244e-04   4.354929e-05
  1.004300e+00   3.684749e-04   4.319205e-05
  1.007050e+00   3.710748e-04   4.324510e-05
  1.009800e+00   3.678424e-04   4.301196e-05
  1.012550e+00   3.583860e-04   4.298227e-05
  1.015300e+00   3.915415e-04   4.307933e-05
  1.018050e+00   3.384054e-04   4.292760e-05
  1.020800e+00   3.473836e-04   4.281465e-05
  1.023550e+00   3.771255e-04   4.314139e-05
  1.026300e+00   3.865333e-04   4.288824e-05
  1.029050e+00   3.761883e-04   4.281259e-05
  1.031800e+00   3.840490e-04   4.262140e-05
  1.034550e+00   3.663306e-04   4.249838e-05
  1.037300e+00   3.557034e-04   4.284468e-05
  1.040050e+00   3.800892e-04   4.254495e-05
  1.042800e+00   3.862930e-04   4.282734e-05
  1.045550e+00   3.878581e-04   4.260737e-05
  1.048300e+00   3.553724e-04   4.262888e-05
  1.051050e+00   3.637341e-04   4.251552e-05
  1.053800e+00   3.423471e-04   4.238830e-05
  1.056550e+00   3.432979e-04   4.247480e-05
  1.059300e+00   3.609609e-04   4.220253e-05
  1.062050e+00   3.708152e-04   4.246045e-05
  1.064800e+00   3.822562e-04   4.275466e-05
  1.067550e+00   3.684023e-04   4.271706e-05
  1.070300e+00   4.131700e-04   4.338905e-05
  1.073050e+00   3.774644e-04   4.300956e-05
  1.075800e+00   3.289885e-04   4.309914e-05
  1.078550e+00   3.269689e-04   4.274042e-05
  1.081300e+00   3.873709e-04   4.340650e-05
  1.084050e+00   3.439734e-04   4.338056e-05
  1.086800e+00   3.449832e-04   4.305286e-05
  1.089550e+00   3.824307e-04   4.355893e-05
  1.092300e+00   3.104019e-04   4.333219e-05
  1.095050e+00   3.565307e-04   4.351939e-05
  1.097800e+00   2.935731e-04   4.339804e-05
  1.100550e+00   3.439780e-04   4.343177e-05
  1.103300e+00   3.074734e-04   4.354896e-05
  1.106050e+00   3.556432e-04   4.352200e-05
  1.108800e+00   2.988782e-04   4.355693e-05
  1.111550e+00   3.129327e-04   4.353369e-05
  1.114290e+00   2.995117e-04   4.366877e-05
  1.117040e+00   3.136149e-04   4.366367e-05
  1.119790e+00   3.587487e-04   4.399482e-05
  1.122540e+00   3.363801e-04   4.343363e-05
  1.125290e+00   3.072671e-04   4.251597e-05
  1.128040e+00   2.782992e-04   4.260002e-05
  1.130790e+00   3.241175e-04   4.284859e-05
  1.133540e+00   3.160924e-04   4.257787e-05
  1.136290e+00   3.259501e-04   4.273612e-05
  1.139040e+00   2.705268e-04   4.211181e-05
  1.141790e+00   2.830037e-04   4.197248e-05
  1.144540e+00   2.726451e-04   4.202344e-05
  1.147290e+00   2.934439e-04   4.188854e-05
