Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 0 mg/ml  Code: tmp
Parent(s): /data/lachlan/Data/JL15_SAXS_Jul2015/sec2/msub/SENDING/gi_0220.dat
  2.320960e-01   2.772334e-04   4.332812e-04
  2.328760e-01   2.095782e-04   4.518013e-04
  2.336550e-01   2.409810e-04   4.519066e-04
  2.344340e-01  -1.236173e-05   4.507630e-04
  2.352140e-01   1.028225e-04   4.512602e-04
  2.359930e-01   1.963055e-04   4.514533e-04
  2.367720e-01   3.328738e-04   4.614100e-04
  2.375510e-01  -7.359593e-06   4.532580e-04
  2.383310e-01   1.132306e-04   4.494399e-04
  2.391100e-01  -1.277523e-04   4.598256e-04
  2.398890e-01   3.783809e-04   4.646908e-04
  2.406680e-01   2.121122e-04   4.655664e-04
  2.414470e-01   1.108984e-04   4.720706e-04
  2.422270e-01  -2.568794e-06   4.729257e-04
  2.430060e-01   3.660998e-04   4.688600e-04
  2.437850e-01  -1.195389e-04   4.695941e-04
  2.445640e-01   4.798346e-04   4.630899e-04
  2.453430e-01  -1.589338e-04   5.053698e-04
  2.461220e-01  -1.502095e-04   5.170435e-04
  2.469020e-01  -1.770551e-04   4.812200e-04
  2.476810e-01  -2.238737e-04   4.674540e-04
  2.484600e-01  -1.805720e-05   4.759852e-04
  2.492390e-01   1.220222e-05   4.895319e-04
  2.500180e-01  -2.036989e-04   4.545664e-04
  2.507970e-01  -9.229379e-05   4.699568e-04
  2.515760e-01   4.983322e-04   4.795323e-04
  2.523550e-01   3.127040e-04   4.837755e-04
  2.531340e-01  -8.227216e-05   4.849221e-04
  2.539130e-01   3.931151e-04   4.824066e-04
  2.546920e-01  -1.190797e-04   4.658472e-04
  2.554720e-01  -1.768445e-04   4.626433e-04
  2.562510e-01   2.521584e-04   4.792749e-04
  2.570300e-01   3.101465e-04   4.762251e-04
  2.578090e-01  -2.113157e-04   4.604535e-04
  2.585880e-01   2.170682e-05   4.733040e-04
  2.593670e-01   7.068613e-05   4.559509e-04
  2.601460e-01   1.666373e-04   4.597749e-04
  2.609250e-01   1.517061e-04   4.826455e-04
  2.617030e-01   2.945251e-05   4.695483e-04
  2.624820e-01   2.285069e-04   4.690257e-04
  2.632610e-01   4.432750e-04   4.623031e-04
  2.640400e-01  -3.512184e-04   4.703273e-04
  2.648190e-01  -8.640957e-05   4.738324e-04
  2.655980e-01  -1.941235e-04   4.767048e-04
  2.663770e-01  -1.191391e-04   4.682398e-04
  2.671560e-01   2.028429e-05   4.619004e-04
  2.679350e-01   3.890796e-04   5.103599e-04
  2.687140e-01   4.583758e-04   4.721184e-04
  2.694930e-01   1.223245e-04   4.645417e-04
  2.702710e-01   2.421880e-04   4.675184e-04
  2.710500e-01   2.071885e-04   4.762134e-04
  2.718290e-01  -5.112744e-04   4.593244e-04
  2.726080e-01  -7.283406e-05   4.701265e-04
  2.733870e-01   8.467738e-05   4.853813e-04
  2.741660e-01  -1.056481e-04   4.834040e-04
  2.749440e-01  -4.013363e-05   4.883990e-04
  2.757230e-01   1.295580e-04   4.578512e-04
  2.765020e-01   3.789221e-04   4.766268e-04
  2.772810e-01   1.269128e-04   4.557043e-04
  2.780590e-01   2.229601e-04   4.744038e-04
  2.788380e-01  -1.379235e-04   4.559266e-04
  2.796170e-01   5.048219e-05   4.701703e-04
  2.803960e-01   2.273252e-04   4.777919e-04
  2.811740e-01   3.747627e-05   4.838369e-04
  2.819530e-01  -2.237917e-04   4.815730e-04
  2.827320e-01   2.514730e-04   4.606261e-04
  2.835100e-01   2.182421e-05   4.722130e-04
  2.842890e-01   8.957598e-05   4.700680e-04
  2.850680e-01   1.534328e-04   4.845038e-04
  2.858460e-01  -1.306890e-04   5.011354e-04
  2.866250e-01  -1.694492e-04   4.724938e-04
  2.874040e-01   3.501956e-04   4.939126e-04
  2.881820e-01  -4.222306e-05   5.019651e-04
  2.889610e-01  -1.432129e-04   5.211073e-04
  2.897390e-01   6.090874e-05   5.164078e-04
  2.905180e-01   5.065262e-04   5.318030e-04
  2.912970e-01   2.751431e-04   5.499224e-04
  2.920750e-01   3.906932e-04   5.487476e-04
  2.928540e-01  -6.911678e-05   5.525032e-04
  2.936320e-01   8.017220e-04   5.722207e-04
  2.944110e-01   1.617759e-04   5.696116e-04
  2.951890e-01   1.192513e-03   5.830783e-04
  2.959680e-01  -4.604847e-04   5.732220e-04
  2.967460e-01  -2.136196e-04   5.659495e-04
  2.975250e-01  -1.914276e-04   5.998317e-04
  2.983030e-01   1.548515e-04   6.043138e-04
  2.990820e-01  -5.979197e-05   6.233341e-04
  2.998600e-01   1.990872e-04   6.279068e-04
  3.006390e-01  -5.582606e-04   6.152845e-04
  3.014170e-01   1.816259e-04   6.250520e-04
  3.021960e-01   6.676273e-04   6.317152e-04
  3.029740e-01   4.214915e-04   6.420170e-04
  3.037520e-01  -3.890484e-05   6.371683e-04
  3.045310e-01  -5.479159e-04   6.511411e-04
  3.053090e-01   7.104493e-04   6.566352e-04
  3.060870e-01  -1.540432e-04   6.669809e-04
  3.068660e-01   1.217892e-04   6.727139e-04
  3.076440e-01   8.563347e-05   6.764842e-04
  3.084220e-01   3.656933e-04   6.712875e-04
  3.092010e-01  -3.501147e-04   6.726291e-04
  3.099790e-01  -4.375039e-04   6.959472e-04
  3.107570e-01   3.463258e-04   7.363629e-04
  3.115360e-01   7.297690e-04   7.685350e-04
  3.123140e-01   1.402615e-04   7.395521e-04
  3.130920e-01  -8.671406e-05   7.715253e-04
  3.138700e-01   3.697268e-04   7.952471e-04
  3.146490e-01  -1.412210e-04   7.767259e-04
  3.154270e-01  -6.259675e-04   7.479371e-04
  3.162050e-01  -5.706197e-04   7.895472e-04
  3.169830e-01   1.458522e-04   8.117275e-04
  3.177620e-01   4.352127e-04   8.255325e-04
  3.185400e-01  -2.764359e-04   7.944056e-04
  3.193180e-01  -1.493096e-04   8.120726e-04
  3.200960e-01   2.145604e-04   8.616114e-04
  3.208740e-01   3.965023e-05   8.452587e-04
  3.216520e-01  -1.835905e-04   8.704644e-04
  3.224300e-01  -1.984612e-04   8.810197e-04
  3.232090e-01   7.546373e-04   9.110644e-04
  3.239870e-01  -1.869436e-04   9.381128e-04
  3.247650e-01   5.853052e-04   1.026168e-03
  3.255430e-01   7.326569e-05   1.023526e-03
  3.263210e-01  -1.678238e-05   9.971032e-04
  3.270990e-01  -4.029236e-04   9.750975e-04
  3.278770e-01  -3.842992e-05   1.060507e-03
  3.286550e-01  -6.219291e-04   1.102998e-03
  3.294330e-01   6.491823e-04   1.168177e-03
  3.302110e-01   1.265131e-04   1.146083e-03
  3.309890e-01  -2.829119e-04   1.169551e-03
  3.317670e-01  -3.610074e-04   1.049149e-03
  3.325450e-01   1.158836e-04   1.180354e-03
  3.333230e-01  -8.572405e-05   1.180384e-03
  3.341010e-01   8.437708e-04   1.147165e-03
  3.348790e-01  -1.480206e-04   1.217278e-03
  3.356570e-01   3.903598e-04   1.409655e-03
  3.364350e-01  -7.802496e-04   1.350268e-03
  3.372130e-01   2.912803e-04   1.389385e-03
  3.379900e-01   1.012216e-03   1.385972e-03
  3.387680e-01   9.196180e-04   1.333234e-03
  3.395460e-01  -2.353903e-04   1.292616e-03
  3.403240e-01   4.781585e-04   1.426698e-03
