Sample description: BSA
Sample: BSA  c= 8.3400 mg/ml  Code: bsa
Parent(s): data/frames/img_0001_02311.dat data/subtracted/img_0001_buffer.dat
  6.311060e-01   2.503820e+02   2.159724e+01
  6.331040e-01   2.792830e+02   2.142309e+01
  6.351030e-01   2.582520e+02   2.188988e+01
  6.371010e-01   2.562270e+02   2.223949e+01
  6.391000e-01   2.527120e+02   2.213802e+01
  6.410980e-01   2.635420e+02   2.206781e+01
  6.430960e-01   2.970010e+02   2.223864e+01
  6.450950e-01   2.383240e+02   2.223666e+01
  6.470930e-01   2.373820e+02   2.197369e+01
  6.490920e-01   2.512430e+02   2.213399e+01
  6.510900e-01   2.565200e+02   2.210795e+01
  6.530890e-01   2.181120e+02   2.185255e+01
  6.550870e-01   2.606230e+02   2.242410e+01
  6.570850e-01   2.895720e+02   2.216360e+01
  6.590840e-01   2.181100e+02   2.187782e+01
  6.610820e-01   2.390590e+02   2.185284e+01
  6.630810e-01   2.333890e+02   2.198006e+01
  6.650790e-01   2.135990e+02   2.194728e+01
  6.670780e-01   2.595220e+02   2.183016e+01
  6.690760e-01   2.414240e+02   2.204064e+01
  6.710740e-01   2.184030e+02   2.137037e+01
  6.730730e-01   2.231160e+02   2.128508e+01
  6.750710e-01   2.164000e+02   2.087900e+01
  6.770700e-01   2.090410e+02   2.091818e+01
  6.790680e-01   2.340590e+02   2.111141e+01
  6.810670e-01   2.411890e+02   2.094943e+01
  6.830650e-01   1.955230e+02   2.064064e+01
  6.850630e-01   1.972890e+02   2.041005e+01
  6.870620e-01   2.241020e+02   2.071751e+01
  6.890600e-01   2.056660e+02   2.063491e+01
  6.910590e-01   1.897450e+02   2.008934e+01
  6.930570e-01   2.233620e+02   2.048517e+01
  6.950560e-01   1.702010e+02   1.999467e+01
  6.970540e-01   2.126280e+02   2.046364e+01
  6.990530e-01   2.061690e+02   2.025571e+01
  7.010510e-01   2.007190e+02   1.986127e+01
  7.030490e-01   2.253170e+02   2.041441e+01
  7.050480e-01   2.075410e+02   1.992137e+01
  7.070460e-01   2.082920e+02   2.020913e+01
  7.090450e-01   1.944480e+02   1.974998e+01
  7.110430e-01   1.758180e+02   1.965891e+01
  7.130420e-01   1.988210e+02   1.996513e+01
  7.150400e-01   1.685140e+02   1.955458e+01
  7.170380e-01   1.812660e+02   1.963638e+01
  7.190370e-01   1.718710e+02   1.953304e+01
  7.210350e-01   2.010500e+02   1.973121e+01
  7.230340e-01   1.870910e+02   1.958761e+01
  7.250320e-01   2.154720e+02   1.964218e+01
  7.270310e-01   2.002770e+02   1.960368e+01
  7.290290e-01   1.762020e+02   1.930193e+01
  7.310270e-01   1.733020e+02   1.937350e+01
  7.330260e-01   1.770470e+02   1.926498e+01
  7.350240e-01   1.657960e+02   1.907568e+01
  7.370230e-01   1.656920e+02   1.926319e+01
  7.390210e-01   1.688150e+02   1.894220e+01
  7.410200e-01   1.926180e+02   1.932793e+01
  7.430180e-01   1.935250e+02   1.914138e+01
  7.450160e-01   1.764470e+02   1.908263e+01
  7.470150e-01   1.650350e+02   1.916727e+01
  7.490130e-01   1.625870e+02   1.877541e+01
  7.510120e-01   1.992240e+02   1.904573e+01
  7.530100e-01   1.565590e+02   1.879096e+01
  7.550090e-01   1.880010e+02   1.908026e+01
  7.570070e-01   1.285090e+02   1.880960e+01
  7.590060e-01   1.460110e+02   1.854773e+01
  7.610040e-01   1.565930e+02   1.872786e+01
  7.630020e-01   1.579860e+02   1.865769e+01
  7.650010e-01   1.582910e+02   1.889563e+01
  7.669990e-01   1.781550e+02   1.885591e+01
  7.689980e-01   1.436130e+02   1.843654e+01
  7.709960e-01   1.675200e+02   1.876576e+01
  7.729950e-01   1.720210e+02   1.868708e+01
  7.749930e-01   1.355320e+02   1.846026e+01
  7.769910e-01   1.508970e+02   1.838485e+01
  7.789900e-01   1.630850e+02   1.870932e+01
  7.809880e-01   1.897900e+02   1.874902e+01
  7.829870e-01   1.452210e+02   1.846313e+01
  7.849850e-01   1.524000e+02   1.833572e+01
  7.869840e-01   1.831430e+02   1.848562e+01
  7.889820e-01   1.268500e+02   1.838549e+01
  7.909800e-01   1.472080e+02   1.836579e+01
  7.929790e-01   1.434190e+02   1.828634e+01
  7.949770e-01   1.424630e+02   1.815784e+01
  7.969760e-01   1.779790e+02   1.834108e+01
  7.989740e-01   1.416640e+02   1.841732e+01
  8.009730e-01   1.619090e+02   1.816542e+01
  8.029710e-01   1.151560e+02   1.800094e+01
  8.049690e-01   1.436800e+02   1.820720e+01
  8.069680e-01   1.570580e+02   1.806427e+01
  8.089660e-01   1.233700e+02   1.807845e+01
  8.109650e-01   1.134370e+02   1.768289e+01
  8.129630e-01   1.611380e+02   1.822306e+01
  8.149620e-01   1.188640e+02   1.789283e+01
  8.169600e-01   1.528490e+02   1.805859e+01
  8.189590e-01   1.074040e+02   1.778423e+01
  8.209570e-01   1.489080e+02   1.782268e+01
  8.229550e-01   9.589600e+01   1.770479e+01
  8.249540e-01   1.281810e+02   1.780249e+01
  8.269520e-01   1.266150e+02   1.777899e+01
  8.289510e-01   8.006400e+01   1.760851e+01
  8.309490e-01   1.284670e+02   1.757890e+01
  8.329480e-01   1.304170e+02   1.786115e+01
  8.349460e-01   1.258430e+02   1.756543e+01
  8.369440e-01   1.148350e+02   1.753595e+01
  8.389430e-01   1.395340e+02   1.781893e+01
  8.409410e-01   1.169920e+02   1.756686e+01
  8.429400e-01   1.199560e+02   1.762066e+01
  8.449380e-01   9.592500e+01   1.722277e+01
  8.469370e-01   1.162810e+02   1.749284e+01
  8.489350e-01   1.173240e+02   1.759045e+01
  8.509330e-01   1.129710e+02   1.740203e+01
  8.529320e-01   9.310800e+01   1.735476e+01
  8.549300e-01   1.050380e+02   1.722295e+01
  8.569290e-01   1.002520e+02   1.738995e+01
  8.589270e-01   8.493900e+01   1.721491e+01
  8.609260e-01   1.097820e+02   1.724546e+01
  8.629240e-01   1.107410e+02   1.735579e+01
  8.649220e-01   1.061640e+02   1.725488e+01
  8.669210e-01   1.239790e+02   1.745968e+01
  8.689190e-01   8.138000e+01   1.699624e+01
  8.709180e-01   1.078890e+02   1.710088e+01
  8.729160e-01   8.539000e+01   1.704208e+01
  8.749150e-01   9.557800e+01   1.717280e+01
  8.769130e-01   9.642900e+01   1.709153e+01
  8.789120e-01   8.432400e+01   1.692683e+01
  8.809100e-01   1.213750e+02   1.719195e+01
  8.829080e-01   1.275320e+02   1.720224e+01
  8.849070e-01   9.708800e+01   1.709025e+01
  8.869050e-01   7.388600e+01   1.675084e+01
  8.889040e-01   1.042900e+02   1.694835e+01
  8.909020e-01   1.186880e+02   1.713546e+01
  8.929010e-01   9.961700e+01   1.694918e+01
  8.948990e-01   1.028170e+02   1.678176e+01
  8.968970e-01   1.156610e+02   1.691430e+01
  8.988960e-01   1.085770e+02   1.691412e+01
  9.008940e-01   6.683200e+01   1.670376e+01
  9.028930e-01   7.712000e+01   1.658827e+01
  9.048910e-01   1.111590e+02   1.675481e+01
  9.068900e-01   6.546600e+01   1.652646e+01
  9.088880e-01   9.330800e+01   1.672994e+01
  9.108860e-01   5.941300e+01   1.649475e+01
  9.128850e-01   7.126400e+01   1.647179e+01
  9.148830e-01   6.523400e+01   1.654584e+01
  9.168820e-01   1.165460e+02   1.685934e+01
  9.188800e-01   8.705500e+01   1.664314e+01
  9.208790e-01   7.642400e+01   1.643683e+01
  9.228770e-01   7.919500e+01   1.661979e+01
  9.248750e-01   8.640000e+01   1.660513e+01
  9.268740e-01   7.289500e+01   1.652917e+01
  9.288720e-01   8.857500e+01   1.654851e+01
  9.308710e-01   8.162900e+01   1.653455e+01
  9.328690e-01   6.807400e+01   1.642128e+01
  9.348680e-01   7.721500e+01   1.659819e+01
  9.368660e-01   7.556300e+01   1.630831e+01
  9.388640e-01   1.249710e+02   1.666030e+01
  9.408630e-01   5.767100e+01   1.639518e+01
  9.428610e-01   6.296400e+01   1.639039e+01
  9.448600e-01   8.962900e+01   1.655610e+01
  9.468580e-01   9.369900e+01   1.633732e+01
  9.488570e-01   7.876300e+01   1.646426e+01
  9.508550e-01   1.173820e+02   1.665698e+01
  9.528540e-01   7.093300e+01   1.633010e+01
  9.548520e-01   6.231800e+01   1.617872e+01
  9.568500e-01   6.382800e+01   1.627137e+01
  9.588490e-01   8.477000e+01   1.640518e+01
  9.608470e-01   7.860400e+01   1.633986e+01
  9.628460e-01   6.513700e+01   1.612446e+01
  9.648440e-01   4.655000e+01   1.610757e+01
  9.668430e-01   5.587100e+01   1.620905e+01
  9.688410e-01   7.128900e+01   1.628907e+01
  9.708390e-01   7.874100e+01   1.610849e+01
  9.728380e-01   7.286200e+01   1.618797e+01
  9.748360e-01   8.371800e+01   1.626102e+01
  9.768350e-01   8.436200e+01   1.632700e+01
  9.788330e-01   7.010800e+01   1.613649e+01
  9.808320e-01   7.484700e+01   1.607982e+01
  9.828300e-01   4.466500e+01   1.601180e+01
  9.848280e-01   8.775800e+01   1.618140e+01
  9.868270e-01   8.124900e+01   1.623541e+01
  9.888250e-01   9.223500e+01   1.610503e+01
  9.908240e-01   8.391000e+01   1.620292e+01
  9.928220e-01   4.841100e+01   1.600902e+01
  9.948210e-01   5.985500e+01   1.594316e+01
  9.968190e-01   6.341800e+01   1.597028e+01
  9.988170e-01   4.656900e+01   1.583162e+01
  1.000820e+00   8.772100e+01   1.624817e+01
  1.002810e+00   5.084900e+01   1.594522e+01
  1.004810e+00   6.319500e+01   1.580096e+01
  1.006810e+00   6.188400e+01   1.597068e+01
